AUN,School District,Nonspecial,Special,PaymentType
119350303,Abington Heights SD,"10,946.23","19,899.15",ACH
123460302,Abington SD,"14,106.16","26,979.99",Check
101260303,Albert Gallatin Area SD,"9,969.84","21,671.25",ACH
127040503,Aliquippa SD,"10,077.71","25,004.96",Check
103020603,Allegheny Valley SD,"15,193.52","29,003.13",Check
106160303,Allegheny-Clarion Valley SD,"14,498.50","28,658.26",Check
121390302,Allentown City SD,"10,267.65","21,718.60",Check
108070502,Altoona Area SD,"8,525.47","17,161.33",Check
127040703,Ambridge Area SD,"13,126.18","33,739.94",Check
113380303,Annville-Cleona SD,"13,949.93","25,834.60",Check
114060503,Antietam SD,"12,308.12","27,806.13",ACH
128030603,Apollo-Ridge SD,"10,950.98","22,518.74",ACH
128030852,Armstrong SD,"12,058.93","26,058.40",Check
117080503,Athens Area SD,"12,378.60","31,051.54",Check
109530304,Austin Area SD,"20,637.64","33,685.30",Check
101630504,Avella Area SD,"13,354.61","26,368.70",ACH
124150503,Avon Grove SD,"10,987.48","25,302.63",Check
103020753,Avonworth SD,"12,151.88","27,127.06",ACH
110141003,Bald Eagle Area SD,"13,421.37","25,334.75",ACH
103021102,Baldwin-Whitehall SD,"10,670.93","21,102.87",Check
120480803,Bangor Area SD,"12,922.18","29,117.18",ACH
127041203,Beaver Area SD,"11,796.59","20,578.80",Check
108051003,Bedford Area SD,"9,439.99","18,466.41",Check
107650603,Belle Vernon Area SD,"10,905.02","21,133.53",ACH
110141103,Bellefonte Area SD,"13,415.58","29,656.16",Check
108071003,Bellwood-Antis SD,"11,217.57","18,900.30",Check
122091002,Bensalem Township SD,"12,115.19","33,609.29",Check
116191004,Benton Area SD,"12,706.29","26,296.61",Check
101630903,Bentworth SD,"10,678.62","23,169.66",Check
108561003,Berlin Brothersvalley SD,"12,271.20","19,906.19",Check
112011103,Bermudian Springs SD,"10,900.81","21,423.91",Check
116191103,Berwick Area SD,"9,294.38","19,733.72",Check
103021252,Bethel Park SD,"14,377.09","28,539.63",Check
120481002,Bethlehem Area SD,"12,099.34","25,760.30",Check
101631003,Bethlehem-Center SD,"11,247.23","28,594.97",Check
127041503,Big Beaver Falls Area SD,"11,142.20","22,492.61",Check
115210503,Big Spring SD,"12,884.48","32,258.85",Check
127041603,Blackhawk SD,"10,613.80","20,698.69",Check
108110603,Blacklick Valley SD,"11,571.06","26,726.82",ACH
128321103,Blairsville-Saltsburg SD,"12,686.52","24,982.44",ACH
116191203,Bloomsburg Area SD,"12,448.97","19,208.87",Check
129540803,Blue Mountain SD,"10,953.07","24,494.85",Check
119581003,Blue Ridge SD,"9,992.25","19,415.71",ACH
114060753,Boyertown Area SD,"11,002.76","26,497.11",ACH
109420803,Bradford Area SD,"11,264.11","20,640.22",Check
114060853,Brandywine Heights Area SD,"15,965.33","34,861.27",ACH
103021453,Brentwood Borough SD,"11,978.55","27,359.49",Check
122091303,Bristol Borough SD,"11,219.42","28,862.16",ACH
122091352,Bristol Township SD,"11,628.93","35,355.12",ACH
106330703,Brockway Area SD,"12,086.69","20,377.63",ACH
106330803,Brookville Area SD,"11,483.67","22,923.23",Check
101260803,Brownsville Area SD,"10,174.05","26,382.92",Check
123460504,Bryn Athyn SD,"69,121.55","135,209.58",ACH
101631203,Burgettstown Area SD,"10,661.95","22,086.60",ACH
107650703,Burrell SD,"12,205.24","21,111.12",Check
104101252,Butler Area SD,"9,552.38","22,459.03",Check
101631503,California Area SD,"10,065.92","19,527.38",ACH
108111203,Cambria Heights SD,"10,272.38","22,159.35",Check
109122703,Cameron County SD,"15,628.12","25,981.18",ACH
115211003,Camp Hill SD,"11,601.15","25,269.11",Check
101631703,Canon-McMillan SD,"9,186.27","20,095.17",Check
117081003,Canton Area SD,"12,314.20","24,255.96",Check
